"",,,,,,,,,,,,,,Grand
Affiliate State Name,PA Nationality,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May Jun,,Jul,Aug,Sep,Total
Affiliate State Name,PErAi tNreaationality,Oct,Nov,Dec1,Jan,Feb,Mar,Apr,May,Jun4,Jul,Aug,Sep8 Tota1l3
Ohio,Ethiopia,,,,1,,,,2,,,,4 7
"",Gambia,,3,,,,,,,,,,3
"",Honduras,,,3,,,,,,,,,3
"",Iraq,,5,,,,,,,,,,6 11
"",Ivory Coast,,,,,,,4,,,,,4
"",Nepal,,,,,,,,,,,,2 2
"",Pakistan,,,6,,,,,,,,,6
"",Palestine,,,3,,,,1,,,,,2 6
"",Republic of Sou.,,,,,,,,,,,,1 1
"",Somalia,,,,1,,2,,2,,,4,6 15
"",Sudan,,,,1,,,,,1,,,26 28
"",Syria,,,,,,2,,10,11,3,,32 58
"",Uganda,,,,1,,,,,,,,1
"",Ukraine,,,6,18,,,4,,,,2,30
Oklahoma,Total,,,,,,4,,5,,3,,13 25
"",Burma,,,,,,4,,1,,3,,1 9
"",Iraq,,,,,,,,,,,,6 6
"",Russia,,,,,,,,4,,,,4
"",Sudan,,,,,,,,,,,,6 6
Oregon,Total,,2,16,15,6,,12,23,27,10,10,17 138
"",Afghanistan,,,,,,,,,3,,,3 6
"",Burma,,,,,,,,,2,4,,6
"",Dem. Rep. Con.,,,,,1,,,9,9,6,3,2 30
"",Eritrea,,,,,,,,2,,,,2
"",Ethiopia,,,,,,,,1,,,,1
"",Iran,,,,,,,,,4,,1,5
"",Iraq,,,,4,,,,,,,,2 6
"",Moldova,,,2,,,,,,,,,2
"",Nepal,,,,,,,,,,,,1 1
"",Somalia,,,,,,,,1,,,1,2 4
"",Syria,,,,,,,,5,,,,5
"",Ukraine,,2,14,11,5,,12,5,9,,5,7 70
Pennsylvania,Total,,22,11,25,26,1,1,24,48,62,37,138 395
"",Afghanistan,,,,,,,1,3,1,,,7 12
"",Bangladesh,,,,,,,,1,,,,1
"",Burma,,,,,,,,,6,,6,3 15
"",Dem. Rep. Con.,,5,,9,2,,,15,23,33,25,41 153
"",El Salvador,,3,,2,,,,,,,,5 10
"",Eritrea,,,,,,,,,1,,1,15 17
"",Ethiopia,,,,,,,,,1,,,1
"",Guatemala,,,,2,,,,,,,,2
"",Iran,,,,,1,,,,,,,1
"",Iraq,,,,2,5,,,,,6,4,10 27
"",Ivory Coast,,,,,,,,,1,,,1
22 11 25,26,1,,1,,24,48,62,37,138,395
Refugee Arrivals,,,,1,,3,1,,,7,12
by State and Nationality,,,,,,1,,,,,1
"October 1, 2020 through September 30, 2021",,,,,,,6,,6,3,15
"",,,,,,,,,25,41,153
"",,,,,,,,,,5,10
"",,,,,,,1,,1,15,17
"",,,,,2,5,,,,,6,4,10 Gran2d7
Affiliate State Name,IPvAo rNya Ctioansatlity,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun1,Jul,Aug,Sep Total1
Pennsylvania,Kazakhstan,,3,,,,,,,2,,,5
"",Liberia,,,,,5,,,1,,3,,9
"",Nepal,,,,,,,,,,,,1 1
"",Pakistan,,,2,3,2,,,,1,1,1,1 11
"",Somalia,,,,1,,,,1,,,,2 4
"",Sudan,,,,,,1,,,,,,16 17
"",Syria,,6,,,,,,1,12,12,,30 61
"",Ukraine,,5,9,6,11,,,2,,7,,7 47
Rhode Island,Total,,,,,,,,5,6,13,13,10 47
"",Burundi,,,,,,,,,,,,1 1
"",Dem. Rep. Con.,,,,,,,,,6,10,,8 24
"",Guatemala,,,,,,,,,,,3,3
"",Iraq,,,,,,,,,,,5,5
"",Syria,,,,,,,,5,,3,5,1 14
South Carolina,Total,,,,5,14,5,8,2,13,5,4,43 99
"",Afghanistan,,,,,,,,,6,,,6
"",Burma,,,,,7,5,,,,4,,16
"",Burundi,,,,,,,,,,,,5 5
"",Colombia,,,,,,,,,,,,1 1
"",Dem. Rep. Con.,,,,,,,3,,,1,3,15 22
"",El Salvador,,,,,,,,,,,,5 5
"",Eritrea,,,,,,,,,,,,1 1
"",Guatemala,,,,1,,,,2,,,,3
"",Honduras,,,,,,,,,,,,6 6
"",Somalia,,,,,,,,,,,1,1
"",Sri Lanka (Ceyl.,,,,1,,,,,,,,1
"",Sudan,,,,,,,,,,,,3 3
"",Syria,,,,,,,,,7,,,7
"",Ukraine,,,,3,7,,5,,,,,7 22
South Dakota,Total,,3,2,,1,1,,,8,2,25,10 52
"",Dem. Rep. Con.,,,2,,,1,,,8,2,18,5 36
"",Nepal,,,,,1,,,,,,,1
"",Republic of Sou.,,,,,,,,,,,6,6
"",Rwanda,,,,,,,,,,,1,1
